mode,policy,answered,n,mean_l2_error,median_l2_error,rmse,mean_d_error,median_d_error,mean_trace,mean_logdet,mean_variance_dim_1,mean_variance_dim_2,mean_variance_dim_3,mean_variance_dim_4,mean_variance_dim_5,mean_variance_dim_6,mean_variance_reduction_dim_1,mean_variance_reduction_dim_2,mean_variance_reduction_dim_3,mean_variance_reduction_dim_4,mean_variance_reduction_dim_5,mean_variance_reduction_dim_6,mean_variance_step_reduction_dim_1,mean_variance_step_reduction_dim_2,mean_variance_step_reduction_dim_3,mean_variance_step_reduction_dim_4,mean_variance_step_reduction_dim_5,mean_variance_step_reduction_dim_6
available,random,2,470,2.5432052933807965,2.571360261797797,2.6026552192266665,0.836246477549649,0.8316046468254048,5.19360838669943,-1.0743613897317479,0.8308802352298192,0.8821247334263839,0.8565710751072618,0.8446999762384089,0.9058084111390436,0.8735239555585133,0.16911976477018048,0.1178752665736161,0.14342892489273812,0.15530002376159144,0.09419158886095652,0.12647604444148713,0.0782547464799679,0.05640058123971009,0.06951875214624023,0.07048528758570753,0.04954591890710442,0.06058019155401804
available,random,3,460,2.4340427860861116,2.462822886073461,2.497331510125124,0.7691797136053881,0.7674175565488406,4.837510796722278,-1.57685771187859,0.7640841914999753,0.8318590672178251,0.7954272108901178,0.7759106298662712,0.8545556589877652,0.8156740382603248,0.23591580850002494,0.16814093278217515,0.2045727891098815,0.2240893701337295,0.14544434101223463,0.18432596173967541,0.06605040525326991,0.049563523547013544,0.06118874598806607,0.06903099943457079,0.05147754080123449,0.058439960567622365
available,random,4,450,2.3199349195751826,2.2857085189222657,2.3870336635240377,0.7106809186876447,0.7100202829742719,4.511592625491422,-2.0521308256852473,0.7014118192887481,0.7806711709666504,0.7337551799611467,0.7149111469347704,0.8139325856300291,0.766910722710077,0.2985881807112524,0.21932882903334974,0.2662448200388524,0.2850888530652307,0.1860674143699697,0.23308927728992312,0.06291826860190641,0.051444313659980805,0.062096294599061845,0.060440938204829445,0.040627847375078026,0.048655881289402965
available,random,5,434,2.2238176789900423,2.202868880155253,2.2937084402580346,0.659133232134872,0.6591761564821361,4.213210439038278,-2.5045595126557036,0.6437414398196837,0.7383071654339708,0.6805739632900059,0.6613545851523447,0.771171127413423,0.7180621579288501,0.3562585601803165,0.2616928345660284,0.31942603670999425,0.3386454148476553,0.22882887258657697,0.28193784207114997,0.056725797400971646,0.04098201589273572,0.05395421238066544,0.054883323178247595,0.042815316282960356,0.047412089048532766
available,random,6,422,2.1382221657482354,2.119842825092205,2.2101488861867242,0.6148117698263362,0.6134231407272538,3.950409501501852,-2.9230213223150914,0.5905775006349077,0.6988716280357367,0.6334021673991852,0.617965256038031,0.7331723493912812,0.6764206000027108,0.40942249936509223,0.3011283719642633,0.36659783260081524,0.3820347439619696,0.2668276506087186,0.3235793999972891,0.053542529696800865,0.038201048529722954,0.0487553282222765,0.04273510877919411,0.03810874473867484,0.04061631637953615
available,random,7,415,2.057726078604043,2.034209359454647,2.129660498663117,0.5745517760435896,0.5720049770984218,3.7042743984217337,-3.3302362484736308,0.547556714892506,0.6575567389212768,0.5887152825961642,0.5762034222670613,0.6974378864439507,0.6368043533007752,0.4524432851074939,0.3424432610787236,0.4112847174038361,0.42379657773293883,0.30256211355604923,0.36319564669922505,0.042708152932947684,0.04072634856927453,0.044616928489603566,0.04138889529646606,0.036148657120817045,0.040014281671866554
available,random,8,407,1.968197672806357,1.9379915451294232,2.0422888931130454,0.539089104102158,0.5368375325286345,3.481962826092077,-3.713196761124165,0.5044224257288078,0.6250428306908418,0.5510109214509469,0.5357664973263424,0.6633534110657874,0.6023667398293503,0.49557757427119214,0.3749571693091579,0.4489890785490535,0.46423350267365754,0.3366465889342124,0.3976332601706493,0.04224782913501953,0.03265140294415043,0.03830876278743517,0.040046429505011305,0.03474086664733683,0.03498757745200388
available,random,9,393,1.902863537091181,1.874599282538816,1.976967797118698,0.5080321803694956,0.5052962842915085,3.284084970714137,-4.069743506265932,0.47158172118517483,0.5940380964587487,0.5161355784915194,0.5043393884136304,0.6323882026202247,0.5656019835448389,0.5284182788148252,0.4059619035412516,0.4838644215084808,0.4956606115863697,0.36761179737977545,0.43439801645516074,0.03465107056418047,0.03050736879742729,0.0336463653476444,0.03197406919305595,0.030728100086340863,0.036686832592480074
available,random,10,382,1.8385783377967413,1.8144233534278897,1.9116227514797037,0.4793505237210089,0.47662086730770103,3.1001713289985844,-4.4183633166404075,0.44204221389673887,0.563106585314696,0.48546134660997275,0.4734729926547085,0.6005002203881904,0.5355879701342776,0.557957786103261,0.43689341468530374,0.5145386533900272,0.5265270073452918,0.3994997796118097,0.46441202986572216,0.028203932551699083,0.030353094370979043,0.030781910803582245,0.031707565302145344,0.03226733873689098,0.030931062748564192
available,random,11,374,1.772245189327847,1.7413686837531945,1.8442916812290593,0.45366858389097353,0.4516277589707721,2.933552308884796,-4.749450531280652,0.4149260544816114,0.535032834667921,0.4598932746551395,0.44424819576762575,0.5747225759235529,0.5047293733889449,0.5850739455183884,0.4649671653320788,0.5401067253448606,0.5557518042323745,0.425277424076447,0.49527062661105503,0.026561524167313787,0.027350132403047223,0.025515295582395684,0.029311602990213854,0.0261087333323182,0.02961790853405998
available,random,12,361,1.7263082059765025,1.6781563440857126,1.799722888242287,0.4313530323540367,0.4282542912594599,2.7904384205102457,-5.052224318568396,0.3915365543529151,0.5124957279404616,0.43317523238592653,0.42239518683469296,0.5497945052081178,0.4810412137881322,0.6084634456470855,0.48750427205953833,0.5668247676140733,0.5776048131653077,0.45020549479188227,0.5189587862118679,0.023756498570824177,0.023015195325026723,0.026373721175129688,0.02171204340119396,0.02528302652530762,0.02434037533091442
available,random,13,351,1.6689597880088975,1.6433292510448076,1.7401020084610006,0.4096888687939751,0.4072818624913766,2.646754487585328,-5.361046053438592,0.3694726278684354,0.4857495177377248,0.40872016733708216,0.4017980792514488,0.5282710526672988,0.4527430427233377,0.6305273721315645,0.5142504822622753,0.5912798326629186,0.5982019207485516,0.4717289473327012,0.5472569572766626,0.02154409999617987,0.026282365960275788,0.02483586414285866,0.020357201032342554,0.021557535999283818,0.02809134379294974
available,random,14,339,1.6297711231900622,1.608275854166542,1.697662525861943,0.39092960911331165,0.38935044058670776,2.522325689715136,-5.642462284572959,0.35280725139907687,0.4592218122559231,0.3894637604627313,0.38209852193717475,0.5073318255281226,0.43140251813210745,0.6471927486009226,0.540778187744077,0.6105362395372687,0.6179014780628256,0.49266817447187733,0.5685974818678926,0.01707964866403826,0.024957415654913297,0.020472865794306544,0.01985064725987296,0.022056125639964622,0.021935461345341876
